,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,BalabanJ,BertzCT,HallKierAlpha,LabuteASA,TPSA,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP
PC1,-0.35196775243449185,-0.3519663277803363,0.2716166530051155,0.13636683559117305,0.5233508141215046,-0.19840377354587937,-0.8007131503754966,-0.7955040905194677,-0.8010436781324074,-0.815616916863907,,0.5515803417032831,-0.7820637522410547,0.6402258922636064,-0.8327038927875731,-0.555466916519954,-0.11632652469814758,-0.8358443937526041,-0.4280582337444288,-0.6079631056711476,-0.21745510377619398,-0.37059443628740046,-0.36912041203607104,-0.3115025539539825,-0.15689542766763942,-0.343436147036151,-0.5755237284677598,-0.4375909237327438,-0.5647686560350722,-0.5482144808675045,-0.1876378207806001,-0.31006246224460776,-0.3067400895293634,-0.6004926594338247,-0.3002628127533622
PC2,0.011104873514126964,0.011105020558511683,-0.07672296453708713,0.044792240468129706,-0.3515188527966191,0.653103895167145,0.29440178222246,0.2605287251717639,0.2948038064091915,0.36674738484937536,,0.028889745805701757,0.0157884310555053,0.2716276976069305,0.3221969343169265,0.25723469804167576,0.6463549961548025,0.30426712886655044,0.3065164836488995,0.19131066393504795,0.551239725276377,0.23839271303010484,0.5221433558283392,-0.3716884084406997,-0.40438419237072676,-0.5288527386357836,0.22036714522196713,0.3234649750530876,0.09812413398982729,0.30950946407785473,0.5384582726687827,0.3136856799673145,0.5457178178670619,0.09033969654793016,0.005017380747180329
PC3,-0.11297969778108599,-0.11298118246018433,0.24616291743492247,-0.027621261778185167,-0.08388788417355436,-0.4119104926473081,0.006840200132184203,0.014516043227595742,0.006708387945738027,-0.023512757780515287,,0.01653555274424801,0.14280025628155427,-0.22840531024292632,0.030705850269690325,-0.2689914078739872,-0.5059154953994298,0.02428255360662358,-0.23532978272905117,-0.2744419005954114,-0.2484170176041432,-0.29473775123619705,-0.34579978815961737,0.5804624865830804,-0.04097327328864559,0.45722474618360737,-0.2535815818920571,-0.2323236275168114,-0.23498667049691108,0.09489736276324816,-0.23265340763899403,-0.276138715340871,-0.3174357445045463,0.02020611948499608,0.4314377522729722
PC4,-0.08579116830659182,-0.08579090052748113,0.052117834090622296,-0.027875596745136347,-0.09154171199037026,-0.11916366617846783,0.0014505591915159443,-0.012255139459965649,0.0015363308593009182,0.025597686934854178,,0.16566597583866094,-0.21108171929579217,0.23837085742178096,-0.010865205494613148,0.05976520114938309,0.2150952549947466,-0.020686928157948193,0.07743459583831187,0.04800163465248673,-0.1365633627649437,-0.055146991082353804,-0.12704725581775095,-0.20109939999491022,-0.15417711178210303,-0.25071003264152575,0.05671987877531718,0.08760993874402061,0.04503228076439112,0.3897891238709997,-0.06911127075317687,0.0752973984365424,-0.0029401897753829876,-0.3058116744464422,-0.04287768469241406
PC5,-0.005364842610427412,-0.005364287594398617,-0.056513791274257395,0.032136587501691675,0.1286833330818927,-0.059080956734741626,-0.14433350735600556,-0.15494902477473127,-0.14415377060584403,-0.11962474801729885,,0.031056090679088308,-0.20700490400344287,0.0845166102692773,-0.12302670660574791,-0.16498139512731155,0.2338466046504647,-0.1309327688097146,-0.13629770894278231,-0.1351466354306796,-0.1694147084135572,0.03452313052911047,-0.09688550026730518,-0.022280608636056902,-0.24780508411277952,-0.15426555816158394,-0.19162543663238057,-0.14564827667462715,-0.16872413353013704,0.1349133364279236,-0.17229331128323827,0.004900776290414294,-0.11348657593273428,-0.20558616318116832,0.0005335078891886225
PC6,-0.07359087058202068,-0.07359107031359981,0.11239610539783694,-0.045578739351489275,-0.11574271227140413,-0.15504847360821886,0.050455146287113624,0.05280979240891503,0.050200633101150346,0.026862441085924314,,0.08322531206751728,0.05899606599496816,-0.06606886449826484,0.04500607427109018,-0.031275852727435875,-0.11923275989387615,0.03557902317548846,0.03856457358524269,-0.04704746404405598,-0.15920007568773922,0.012885927688815298,-0.10258017326310914,0.0026533552880338997,0.17111637060154444,0.09600310073539463,-0.10320728208276796,0.02454579133297874,0.010307516894795973,0.16781092665928674,-0.1827075071824331,-0.05256200547700062,-0.15388573405214528,-0.023654697694579084,0.16665512846034564
PC7,-0.010058509539527529,-0.010058579628829598,0.02579698170677485,-0.004481780238090344,-0.06795723638118378,-0.10911327864046717,0.02965838488222058,0.02998001496974365,0.029670551021918103,0.030521392984879703,,0.19755301149590346,0.019965002217141925,-0.0412828247602275,0.02203257354531068,0.0749534115654783,0.036702915933484334,0.02394132906373518,0.044098691059666496,0.08965135194385604,-0.13669511177285712,-0.008295778331195054,-0.0995000447501228,-0.04011364444113849,0.0971362670755276,0.020103159672531574,0.09090405265373984,0.03775362870244633,0.0958311326486694,0.08577083778749747,-0.14244597243715545,-0.037438601593504796,-0.11791930466674194,-0.07757036791530893,-0.02598018558812128
PC8,0.025791814272623677,0.025793404147303335,-0.010807242068725808,0.0008841185336870843,0.02156570886672215,-0.21940952977974545,0.017820424746443745,0.02010057327502027,0.017854624431385382,0.020997653515242496,,0.16492942467463403,-0.018384391882424432,-0.06580480222200923,0.004380685103675645,0.1827523476873254,-0.09215146401494184,0.010279557349037535,0.16685565706281494,0.1831284994003416,-0.21652068961719728,-0.05064900659787954,-0.17973200011120355,-0.07734936883887379,0.0924615465890923,-0.013230805687549214,0.13639505611789027,0.15676800910480204,0.17058459269674356,0.14311588243963957,-0.1791856562093039,0.024572366131446276,-0.10671738163818136,-0.1771844508758211,-0.23458510517967096
