property,r2_holdout,coef_norm
MolWt,0.804350128445382,17.82831382751465
LogP,0.5267054533684291,0.40743541717529297
TPSA,0.6657661904724194,9.802005767822266
RingCount,0.605959025333602,0.2515290081501007
Aromaticity,0.8118188047696543,0.04455168917775154
