cluster,n_molecules,MolWt,LogP,TPSA,Rings
0,18887,306.41852829988886,3.585658547148835,48.03434690527876,1.8457139831630223
4,17920,570.232871651786,-0.6231266065848207,222.2514391741071,4.604910714285714
3,15742,374.66079608690137,3.4302523948672365,80.23563651378478,1.8691398805742598
1,14474,326.03475818709416,3.8416343457233686,54.912740085670855,2.638800607986735
7,13422,372.37125413500223,5.869781100432127,56.183542691104165,0.35255550588585904
10,12668,361.50188427533953,3.805194182191351,60.352953899589515,2.725923586990843
8,11940,961.135612897823,0.4796137504187664,300.66410720268004,8.018090452261307
2,10814,292.92815341224343,3.221085775846127,47.33560477159238,1.7446828185685224
5,10734,340.329230203093,3.98998915502143,54.436359232345815,2.2696105831935904
12,9816,369.99851803178495,3.5126306214343956,67.96908516707417,2.3744906275468622
26,7973,666.8780525523644,3.7586308165057107,154.1420544337138,5.9624984322087045
11,7581,398.66784632634227,3.321978241656776,94.28729059490831,2.4124785648331355
9,7447,347.2035521686586,3.6429079105680158,63.26031959178192,2.1447562776957163
14,7333,325.5283898813583,4.100896241647351,46.353495158870864,2.3126960316378016
18,6642,308.2541707317074,3.481882264378201,50.05848238482384,2.998946100572117
17,6557,488.1186812566725,-3.8784766722586532,215.94950434649994,2.95241726399268
13,6499,311.995719495307,3.8515492706570265,47.07473765194646,2.2014156024003695
20,6497,315.86740788056034,4.594810837309531,36.63656302909035,2.986763121440665
38,6372,319.2642368173258,4.925427215944761,36.53905838041431,1.6180163214061518
19,6142,305.4167593617714,4.570610280039078,42.294708563985665,1.7634321068056007
21,6072,435.8181445981556,5.271677473649542,57.42838768115943,4.316040843214756
16,5988,342.38898380093525,4.238681108884438,57.2462625250501,3.156145624582498
62,5851,371.144394804307,3.373313707058624,80.45528285763118,3.3090070073491713
6,5633,355.28947115213924,4.013628496360734,55.69075803301971,3.1571098881590625
37,5596,299.58319996426025,2.8549596497498224,59.05964438884918,3.1672623302358827
58,5428,614.4055001842298,10.910039071481197,79.21598010316877,0.08308769344141488
99,5127,363.15486717378593,4.6074059762044115,42.14417007996879,4.013653208503999
47,5057,328.0376982400634,4.168860812734826,50.019709313822425,3.004943642475776
34,5017,310.3718937612119,3.476471666334465,51.54839744867451,1.958540960733506
160,4904,392.592722471452,1.9507716496737362,100.14672104404568,2.8099510603588906
36,4888,295.123616816694,3.8440427598199696,41.46157528641571,2.622954173486088
54,4814,444.8992714997925,5.410888105525556,69.69288741171583,4.266722060656419
25,4606,342.646740772905,3.798988899261835,61.50730568823275,2.8994789405123753
23,4521,374.4304523335547,4.7026481397920845,64.38574430435743,3.3351028533510285
31,4464,343.7607137096774,5.332956202956993,36.94256048387097,3.9142025089605736
140,4449,334.5262483704204,3.0625956799280756,60.961795909193086,2.8930096650932793
22,4357,312.6275946752353,3.238106830387883,53.519442276795964,2.0812485655267388
30,4351,310.6119726499656,4.37286113307286,38.7230521719145,2.3748563548609516
56,4335,382.76617093425614,3.9782343621683998,55.35932641291811,2.5153402537485583
35,4301,318.5038907230877,3.7572852476168355,49.85690072076261,1.7479655893978145
74,4263,351.2712674173118,3.8161485385878513,47.31202908749707,3.3919774806474314
166,4248,383.56815065913383,5.116906789077216,57.13391713747646,3.4783427495291903
63,4216,822.1093361005696,1.2614044259962103,229.1295351043643,7.464421252371917
228,4176,321.38975239463605,4.138830977011496,38.38608237547893,3.9940134099616857
44,4154,320.30371978815606,3.735478514684644,50.131393837265286,1.8603755416466057
105,4153,279.2572407897905,3.460313250662174,40.06271851673489,2.0691066698771974
46,4135,308.34631850060464,3.4992851366384548,52.62932285368803,1.6162031438935913
27,4123,358.41702740722775,4.85846351928208,41.54510308028135,2.261217560029105
89,4064,317.4771552657481,3.6450741756889786,41.966203248031505,2.7714074803149606
49,4056,299.7987894477318,5.017133594674557,42.6016691321499,0.17825443786982248
28,4031,546.6078660382042,-1.2634895063259712,200.3245274125527,4.131729099479037
60,3926,362.4895229240959,4.424527784004079,55.18631431482425,3.749617931737137
29,3824,563.6561856694562,-1.2313731746861907,208.01582635983263,3.9560669456066946
48,3814,401.4434001048769,3.7868932538017854,62.806840587309914,3.313581541688516
24,3798,349.164313586098,3.64532908899421,58.19705634544496,2.493417588204318
41,3769,353.249012204829,3.28672054125763,68.97725126028125,2.307508622976917
57,3756,300.4141115548456,4.220068453141643,35.9466719914803,2.7731629392971247
132,3753,783.868388222755,1.1865299626965113,228.43240607513988,4.134026112443379
136,3743,375.89463558642814,4.6907054047555485,50.25679668714935,4.367886721880844
152,3724,594.6226868958112,3.9591656229860392,196.6527148227712,6.446025778732546
32,3679,342.65128458820334,4.097790810002721,61.410032617559125,3.3620549062245177
70,3668,271.00780316248637,3.455282549073066,45.28763631406762,3.1992911668484187
40,3615,795.3853001383129,1.7802354688796724,231.710398340249,6.998893499308437
53,3581,308.8940033510193,2.7517989779391243,63.478687517453224,1.876570790282044
15,3563,318.6810726915521,3.4898332921695223,56.86718495649734,2.209374122930115
43,3484,853.6782970723309,0.41619591848450654,258.4001320321469,7.238518943742824
76,3460,274.81281387283235,3.2177296734104064,38.11488439306358,2.8921965317919076
69,3414,253.97024399531344,3.8773132542472197,22.58971587580551,1.6072056239015817
165,3413,321.02223674186934,3.503307295634341,52.149586873718135,1.7787869909170817
202,3372,360.3941177342824,4.986688078291819,53.90309608540925,2.69632265717675
137,3367,463.599715770716,3.721629474309477,95.61653400653401,4.304425304425305
33,3334,334.3547807438513,4.038744346130777,53.724250149970004,2.7594481103779245
113,3322,277.177940999398,3.325571360626131,35.65549066827213,1.9283564118001204
77,3311,338.633002114165,3.0373909392932665,68.8808939897312,2.06191482935669
106,3297,313.6763133151351,3.6514030573248433,34.80519563239309,3.4185623293903546
114,3293,335.0637430914061,3.83549737625266,71.66757667780139,1.6459155784998483
42,3261,397.66670315854043,3.8290181355412485,57.96882551364612,3.2017785955228457
51,3242,574.4220561381866,0.26283364898211026,223.8372763726095,4.125848241826033
178,3241,421.73532891083016,2.7389110614008034,75.14187287874113,4.630360999691454
310,3219,299.7090720720721,3.1065060018639343,53.31607020813918,2.932587760173967
104,3218,427.2411162212556,3.2966920261031727,117.61080795525173,3.895898073337477
201,3200,359.68629906250004,3.8438978375000024,51.61633125,2.3840625
64,3193,301.6042990917632,3.7652999248355803,53.83405574694645,2.726589414343877
82,3187,336.6364144963916,4.059058343269536,39.95511452776906,1.7756510825227487
96,3182,287.71095254556883,2.2331025172847276,64.23359836580767,1.365179132620993
39,3106,315.1046661300709,3.4323809658725066,58.134594333547966,2.0338055376690276
236,3093,709.7539275784027,5.16008907209829,184.9107371483996,1.2890397672162948
190,3013,344.95013441752417,3.4554277829405926,57.55380019913707,4.1377364752738135
333,2998,407.717430286858,4.579961534356241,68.64804869913276,3.9366244162775184
309,2975,451.6467845378152,4.345023848739499,69.58584537815126,5.349579831932773
88,2959,288.4455745184184,3.185533281514027,51.24321730314295,2.0915849949307197
87,2938,287.97078420694356,3.580133213070118,32.84411504424779,1.8155207624234173
50,2890,312.38032387543257,4.384292581314881,33.8377197231834,2.283044982698962
83,2883,309.4398536246966,3.4017413284772826,52.6523794658342,1.7672563302115851
158,2882,320.79300936849415,5.115980593337962,38.38233518390007,3.5197779319916727
68,2877,447.4598790406675,5.048682777198474,60.02597497393117,3.226972540841154
67,2870,401.7451860627179,3.5660715226480857,91.97299303135888,3.372473867595819
145,2864,218.7052063547486,1.766157887569833,50.39543994413408,0.23708100558659218
139,2847,432.0415040393397,5.16124676501581,61.599213206884436,3.2177730944854233
65,2710,313.2337653136532,3.648811265682659,52.597298892988924,2.3350553505535054
329,2700,395.7214029629631,1.9822322222222226,98.1169962962963,3.437777777777778
116,2681,548.4210533383068,7.067212540096984,89.67985080193957,5.143603133159269
92,2659,272.1928439262881,3.0571406731854096,48.34503948852952,1.889432117337345
52,2659,322.1817021436631,2.492142230161716,75.47127491538173,1.9368183527641971
144,2644,412.8022450832074,6.813619027987902,38.24566187594554,2.981089258698941
227,2638,318.32286884003037,4.461849294920397,42.1492759666414,2.9347990902198635
157,2631,403.4845879893578,3.8559065184340575,62.990220448498675,3.514633219308248
130,2609,283.25731008049064,3.111879996167116,49.17136450747413,1.6983518589497892
134,2599,404.139643709119,6.27914484801847,34.86417083493651,4.218930357829935
71,2588,297.3655544822257,3.5653907109737273,45.39154559505409,2.6027820710973724
288,2579,340.4177530050408,4.903108584722762,46.11617681271811,3.8751454051958123
123,2558,316.59021501172793,4.286281763096172,35.14823690383112,2.1247068021892104
171,2542,423.6240062942567,6.731556416207711,69.07002360346183,1.6978756884343036
124,2535,312.9395045364892,4.104199483234717,42.00783037475345,2.7522682445759368
73,2525,633.2637085148518,-0.3260608633663359,253.229900990099,5.133069306930693
456,2516,356.04804411764707,3.3892930961844208,62.5693720190779,1.9773449920508743
146,2511,246.52472720031858,2.978469908403028,47.16712863401035,1.7988849064117882
203,2507,306.0233218986837,3.0093579736737146,61.71225368966893,1.9932189868368568
94,2505,344.31204231536935,4.546206143712577,53.16108582834332,3.075049900199601
393,2478,389.2311259079904,2.5233953188054894,120.47304277643259,4.040355125100888
233,2453,412.9389608642479,4.552265617611091,54.93657562168774,4.169180595189564
84,2437,465.89065326220776,2.932100389823555,123.01835863766927,3.973327862125564
199,2423,337.82334131242266,4.556856888155183,38.867404044572844,2.3520429219975236
117,2396,371.6882579298832,3.4835016903171967,74.92405258764609,3.0559265442404007
61,2383,284.564699538397,4.088652165337812,32.93267310113303,1.9886697440201426
183,2375,316.0749364210527,4.177698703157897,37.983338947368416,3.6901052631578946
75,2368,345.29928125000004,4.532055000000003,38.77612331081081,2.6841216216216215
213,2364,379.78396615905257,3.4841991582064322,72.02650592216582,2.1307106598984773
112,2356,373.50432215619713,3.1946794482173195,62.7721689303905,3.886672325976231
80,2352,272.54240348639456,3.9697576913265338,28.378877551020405,1.593112244897959
148,2351,407.45239430029784,4.265126218630374,60.17960442364951,3.6580178647384094
161,2332,332.1799039451115,5.025841792452834,41.41129931389365,3.8074614065180103
357,2319,259.48828331177225,2.709022630444158,34.20243639499785,3.0030185424752047
229,2310,491.6746467532471,6.681663168831174,66.19095238095237,4.646753246753247
129,2307,316.998159514521,4.4596473081924595,29.10286952752492,2.054616384915475
